385,542
652,483
745,738
607,592
4,125
546,186
794,725
644,381
47,701
617,563
489,199
592,159
115,69
646,372
321,735
452,705
268,227
421,94
350,174
248,53
386,658
681,127
183,470
354,490
566,283
748,435
70,401
578,403
46,699
500,781
32,236
80,378
752,32
360,589
681,451
561,487
202,175
710,682
139,479
167,67
268,384
309,206
299,263
467,72
369,185
57,324
562,638
607,798
5,711
234,799
187,43
475,774
709,24
136,7
227,424
431,414
164,575
440,286
695,591
273,315
662,543
440,3
421,199
237,62
20,38
47,592
13,660
406,303
238,521
542,644
770,385
458,503
323,624
455,279
565,374
6,176
438,250
416,297
473,602
693,153
768,452
30,626
367,529
488,75
534,464
759,383
24,217
120,484
538,339
314,356
333,425
410,714
59,453
180,450
88,322
30,570
274,40
253,221
196,496
504,8
289,270
779,432
163,472
485,628
262,229
269,145
145,353
284,490
607,464
669,147
421,399
429,604
784,159
233,198
695,566
739,58
240,337
337,708
456,353
443,355
658,411
516,669
617,56
69,106
796,757
692,564
527,384
441,786
564,565
798,673
695,377
457,233
235,175
600,304
421,486
760,560
464,728
375,441
117,122
29,568
686,471
78,207
607,120
155,554
123,571
774,4
150,629
635,368
330,248
466,456
70,440
353,243
246,488
512,26
423,610
141,278
238,241
639,524
401,729
707,397
743,69
429,49
12,439
45,56
541,45
439,638
512,476
777,510
17,530
484,649
431,296
527,254
631,276
414,327
203,589
540,114
779,789
760,136
